title,car_model_name,car_color,car_mileage,location,date,price
تويوتا كورولا 2019,كورولا,رمادي,"83,000 كم",دمنهور,2024-04-29,"950,000 جنيه"
تويوتا كورولا 2020,كورولا,فضي,"76,000 كم",المعادى,2024-04-29,"1,050,000 جنيه"
تويوتا فورتشنر 2023,فورتشنر,أسود,"17,000 كم",مدينة الشيخ زايد,2024-04-29,"3,100,000 جنيه"
تويوتا كورولا 2019,كورولا,أسود,"90,000 كم",كفر الشيخ,2024-04-29,"950,000 جنيه"
تويوتا لاند كروزر 2019,لاند كروزر,أبيض,"168,000 كم",6 أكتوبر,2024-04-29,"7,000,000 جنيه"
تويوتا مكروباص 2021,مكروباص,أبيض,"240,000 كم",القاهرة,2024-04-29,"1,695,000 جنيه"
تويوتا افانزا 2014,افانزا,فضي,"240,000 كم",الدقهلية,2024-04-29,"650,000 جنيه"
تويوتا كورولا 2015,كورولا,فضي,"110,000 كم",6 أكتوبر,2024-04-28,"800,000 جنيه"
تويوتا كورولا 2010,كورولا,أسود,"155,000 كم",أشمون,2024-04-28,"595,000 جنيه"
تويوتا كورولا 2009,كورولا,رمادي,"400,000 كم",الشرقية,2024-04-28,"450,000 جنيه"
تويوتا كورولا 2015,كورولا,فيراني,"200,000 كم",الإسكندرية,2024-04-28,"850,000 جنيه"
تويوتا كورولا 2004,كورولا,الأزرق الداكن,"220,000 كم",مدينة نصر,2024-04-28,"400,000 جنيه"
تويوتا كورولا 2020,كورولا,فضي,"73,000 كم",التجمع - القاهرة الجديدة,2024-04-28,"1,100,000 جنيه"
تويوتا كورولا 2004,كورولا,أسود,"275,000 كم",القاهرة,2024-04-28,"400,000 جنيه"
تويوتا أفنسيس 2006,أفنسيس,احمر,"200,000 كم",الغربية,2024-04-28,"415,000 جنيه"
تويوتا كورولا 2021,كورولا,بترولي,"69,400 كم",العبور,2024-04-28,"1,045,000 جنيه"
تويوتا لاند كروزر 2006,لاند كروزر,فضي,"198,000 كم",شيراتون,2024-04-28,"2,100,000 جنيه"
تويوتا كورولا 2009,كورولا,أبيض,"230,000 كم",كفر الشيخ,2024-04-28,"630,000 جنيه"
تويوتا ياريس 2015,ياريس,فضي,"110,687 كم",القاهرة,2024-04-28,"480,000 جنيه"
تويوتا كورولا 2022,كورولا,فضي,"91,000 كم",الجيزة,2024-04-28,"1,150,000 جنيه"
تويوتا رش 2020,رش,فضي,"82,000 كم",كفر الشيخ,2024-04-28,"1,120,000 جنيه"
تويوتا هاى اس 2008,هاى اس,أبيض,"350,000 كم",القاهرة,2024-04-28,"665,000 جنيه"
تويوتا برادو 2006,برادو,احمر,"300,000 كم",المنصورة,2024-04-27,"950,000 جنيه"
تويوتا كورولا 2022,كورولا,احمر,- كم,القاهرة,2024-04-27,"1,270,000 جنيه"
تويوتا كورولا 2008,كورولا,أسود,"175,000 كم",مصر الجديدة,2024-04-27,"450,000 جنيه"
تويوتا كورولا 2019,كورولا,أبيض,"113,000 كم",بني سويف‎,2024-04-27,"930,000 جنيه"
تويوتا فورتشنر 2015,فورتشنر,أسود,"150,000 كم",المعادى,2024-04-27,"1,750,000 جنيه"
تويوتا كورولا 2013,كورولا,فضي,"230,000 كم",أشمون,2024-04-27,"600,000 جنيه"
تويوتا كورولا 2009,كورولا,أسود,"188,000 كم",حدائق الاهرام,2024-04-26,"650,000 جنيه"
تويوتا كورولا 2017,كورولا,أبيض,"113,000 كم",6 أكتوبر,2024-04-26,"770,000 جنيه"
تويوتا كورولا 2011,كورولا,فضي,"160,000 كم",القاهرة,2024-04-26,"785,000 جنيه"
تويوتا كورولا 2008,كورولا,أبيض,"140,000 كم",مصر الجديدة,2024-04-26,"750,000 جنيه"
تويوتا رش 2023,رش,أبيض,"30,000 كم",القاهرة,2024-04-26,"1,525,000 جنيه"
